Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231106:1530,274.61,359.47,12.46,60.18,21.61,0.48,0.0
20231106:1630,262.29,399.75,13.63,66.73,22.32,0.55,0.0
20231106:1730,151.47,363.86,10.84,64.81,22.62,0.69,0.0
20231106:1830,158.49,272.6,8.56,55.81,21.35,0.9,0.0
20231106:1930,49.47,207.43,5.32,43.7,20.92,0.62,0.0
20231106:2030,7.6,113.75,2.66,30.34,20.51,0.41,0.0
20231106:2130,0.0,45.34,1.04,16.43,19.81,0.48,0.0
20231106:2230,0.0,5.91,0.14,2.23,19.16,0.55,0.0
20231106:2330,0.0,0.0,0.0,0.0,18.01,0.14,0.0
20231107:0030,0.0,0.0,0.0,0.0,18.24,0.07,0.0
20231107:0130,0.0,0.0,0.0,0.0,18.18,0.07,0.0
20231107:0230,0.0,0.0,0.0,0.0,18.18,0.07,0.0
20231107:0330,0.0,0.0,0.0,0.0,18.04,0.14,0.0
20231107:0430,0.0,0.0,0.0,0.0,17.94,0.14,0.0
20231107:0530,0.0,0.0,0.0,0.0,17.82,0.14,0.0
20231107:0630,0.0,0.0,0.0,0.0,17.53,0.28,0.0
20231107:0730,0.0,0.0,0.0,0.0,17.41,0.48,0.0
20231107:0830,0.0,0.0,0.0,0.0,17.37,0.48,0.0
20231107:0930,0.0,0.0,0.0,0.0,17.46,0.48,0.0
20231107:1030,0.0,0.0,0.0,-6.09,17.52,0.48,0.0
20231107:1130,0.0,31.74,0.78,8.18,17.38,0.55,0.0
20231107:1230,265.6,123.2,4.43,22.26,17.99,0.62,0.0
20231107:1330,543.8,194.5,10.01,35.95,19.45,0.69,0.0
20231107:1430,424.9,173.65,9.88,48.86,21.22,0.55,0.0
20231107:1530,461.55,265.73,13.54,59.94,22.06,0.34,0.0
20231107:1630,458.15,235.6,13.67,66.43,23.02,0.48,0.0
20231107:1730,294.03,322.66,12.36,64.55,23.25,0.69,0.0
20231107:1830,264.59,245.92,9.58,55.63,22.61,0.69,0.0
20231107:1930,95.32,201.73,5.73,43.58,20.61,0.69,0.0
20231107:2030,63.19,139.76,3.72,30.27,20.36,0.9,0.0
20231107:2130,19.0,62.04,1.5,16.38,20.12,0.97,0.0
20231107:2230,0.0,5.49,0.13,2.21,19.79,0.62,0.0
20231107:2330,0.0,0.0,0.0,0.0,19.33,0.07,0.0
20231108:0030,0.0,0.0,0.0,0.0,18.84,0.34,0.0
20231108:0130,0.0,0.0,0.0,0.0,18.46,0.48,0.0
20231108:0230,0.0,0.0,0.0,0.0,18.19,0.48,0.0
20231108:0330,0.0,0.0,0.0,0.0,17.81,0.55,0.0
20231108:0430,0.0,0.0,0.0,0.0,17.47,0.55,0.0
20231108:0530,0.0,0.0,0.0,0.0,17.3,0.41,0.0
20231108:0630,0.0,0.0,0.0,0.0,17.12,0.41,0.0
20231108:0730,0.0,0.0,0.0,0.0,17.04,0.55,0.0
20231108:0830,0.0,0.0,0.0,0.0,16.96,0.48,0.0
20231108:0930,0.0,0.0,0.0,0.0,16.94,0.55,0.0
20231108:1030,0.0,0.0,0.0,-6.14,16.92,0.62,0.0
20231108:1130,0.0,25.96,0.63,8.11,16.81,0.55,0.0
20231108:1230,131.68,129.82,3.67,22.16,17.04,0.62,0.0
20231108:1330,380.54,207.0,8.45,35.82,18.16,0.62,0.0
20231108:1430,699.55,203.65,14.34,48.68,20.29,0.48,0.0
20231108:1530,766.14,186.17,17.12,59.7,22.47,0.28,0.0
20231108:1630,781.37,165.02,18.25,66.14,23.69,0.07,0.0
20231108:1730,583.41,220.1,15.35,64.29,24.26,0.55,0.0
20231108:1830,301.93,269.1,10.61,55.46,24.03,0.83,0.0
20231108:1930,192.49,223.97,7.36,43.47,21.93,0.97,0.0
20231108:2030,49.79,126.72,3.32,30.2,21.32,0.76,0.0
20231108:2130,29.78,75.23,1.83,16.34,20.51,0.21,0.0
20231108:2230,0.0,12.08,0.29,2.19,20.22,0.48,0.0
20231108:2330,0.0,0.0,0.0,0.0,19.78,0.41,0.0
20231109:0030,0.0,0.0,0.0,0.0,19.43,0.21,0.0
20231109:0130,0.0,0.0,0.0,0.0,19.03,0.21,0.0
20231109:0230,0.0,0.0,0.0,0.0,18.46,0.34,0.0
20231109:0330,0.0,0.0,0.0,0.0,17.96,0.55,0.0
20231109:0430,0.0,0.0,0.0,0.0,17.75,0.55,0.0
20231109:0530,0.0,0.0,0.0,0.0,17.55,0.48,0.0
20231109:0630,0.0,0.0,0.0,0.0,17.23,0.55,0.0
20231109:0730,0.0,0.0,0.0,0.0,17.2,0.48,0.0
20231109:0830,0.0,0.0,0.0,0.0,17.02,0.48,0.0
20231109:0930,0.0,0.0,0.0,0.0,17.02,0.48,0.0
20231109:1030,0.0,0.0,0.0,-6.2,16.52,0.62,0.0
20231109:1130,0.0,42.19,1.03,8.03,16.18,0.62,0.0
20231109:1230,431.51,146.12,5.92,22.06,16.95,0.62,0.0
20231109:1330,694.04,184.52,11.48,35.69,19.88,0.9,0.0
20231109:1430,795.16,169.95,15.11,48.51,22.17,0.83,0.0
20231109:1530,723.6,206.07,16.72,59.46,23.73,0.48,0.0
20231109:1630,622.08,223.29,16.36,65.85,24.45,0.07,0.0
20231109:1730,568.16,244.65,15.52,64.04,24.37,0.76,0.0
20231109:1830,289.77,284.59,10.74,55.29,24.23,0.69,0.0
20231109:1930,238.23,237.33,8.17,43.36,22.14,0.48,0.0
20231109:2030,108.84,150.18,4.32,30.13,21.9,0.55,0.0
20231109:2130,10.33,57.52,1.36,16.31,20.33,0.69,0.0
20231109:2230,0.0,6.96,0.17,2.18,19.37,0.14,0.0
20231109:2330,0.0,0.0,0.0,0.0,19.1,0.21,0.0
20231110:0030,0.0,0.0,0.0,0.0,18.56,0.34,0.0
20231110:0130,0.0,0.0,0.0,0.0,18.68,0.48,0.0
20231110:0230,0.0,0.0,0.0,0.0,18.27,0.55,0.0
20231110:0330,0.0,0.0,0.0,0.0,17.94,0.41,0.0
20231110:0430,0.0,0.0,0.0,0.0,17.79,0.28,0.0
20231110:0530,0.0,0.0,0.0,0.0,17.5,0.14,0.0
20231110:0630,0.0,0.0,0.0,0.0,17.19,0.34,0.0
20231110:0730,0.0,0.0,0.0,0.0,17.25,0.62,0.0
20231110:0830,0.0,0.0,0.0,0.0,16.89,0.62,0.0
20231110:0930,0.0,0.0,0.0,0.0,16.42,0.69,0.0
20231110:1030,0.0,0.0,0.0,-6.25,16.02,0.62,0.0
20231110:1130,0.0,31.41,0.77,7.96,15.68,0.48,0.0
20231110:1230,202.11,157.89,4.59,21.96,16.48,0.28,0.0
20231110:1330,497.18,235.92,10.13,35.55,18.82,0.28,0.0
20231110:1430,687.11,224.67,14.46,48.33,21.23,0.28,0.0
20231110:1530,786.07,208.5,17.78,59.23,23.18,0.28,0.0
20231110:1630,666.07,251.02,17.67,65.57,24.52,0.21,0.0
20231110:1730,580.84,303.59,16.87,63.79,25.19,0.76,0.0
20231110:1830,359.13,305.77,12.18,55.12,22.77,0.83,0.0
20231110:1930,146.05,243.58,7.21,43.26,21.99,1.03,0.0
20231110:2030,62.19,154.2,4.01,30.07,21.64,0.28,0.0
20231110:2130,2.44,78.35,1.8,16.27,21.4,0.21,0.0
20231110:2230,0.0,10.19,0.25,2.17,20.93,0.28,0.0
20231110:2330,0.0,0.0,0.0,0.0,20.34,0.48,0.0
20231111:0030,0.0,0.0,0.0,0.0,19.64,0.48,0.0
20231111:0130,0.0,0.0,0.0,0.0,19.41,0.28,0.0
20231111:0230,0.0,0.0,0.0,0.0,19.09,0.28,0.0
20231111:0330,0.0,0.0,0.0,0.0,18.33,0.34,0.0
20231111:0430,0.0,0.0,0.0,0.0,17.76,0.21,0.0
20231111:0530,0.0,0.0,0.0,0.0,17.8,0.07,0.0
20231111:0630,0.0,0.0,0.0,0.0,17.51,0.14,0.0
20231111:0730,0.0,0.0,0.0,0.0,16.89,0.62,0.0
20231111:0830,0.0,0.0,0.0,0.0,16.51,0.69,0.0
20231111:0930,0.0,0.0,0.0,0.0,16.47,0.55,0.0
20231111:1030,0.0,0.0,0.0,-6.31,16.32,0.62,0.0
20231111:1130,0.0,37.2,0.91,7.88,16.39,0.48,0.0
20231111:1230,133.82,161.88,4.28,21.85,17.25,0.48,0.0
20231111:1330,239.02,249.62,7.79,35.42,19.06,0.48,0.0
20231111:1430,319.97,272.43,10.29,48.15,20.62,0.21,0.0
20231111:1530,217.78,213.96,8.4,58.99,21.75,0.34,0.0
20231111:1630,133.42,235.91,7.74,65.28,21.93,0.62,0.0
20231111:1730,50.18,248.35,6.53,63.55,22.05,0.9,0.0
20231111:1830,194.83,339.24,10.47,54.96,21.42,0.55,0.0
20231111:1930,156.74,262.21,7.72,43.15,21.68,0.83,0.0
20231111:2030,39.86,170.27,4.19,30.01,21.4,0.76,0.0
20231111:2130,26.61,63.88,1.57,16.24,20.51,0.62,0.0
20231111:2230,0.0,10.53,0.26,2.16,19.39,0.55,0.0
20231111:2330,0.0,0.0,0.0,0.0,18.61,0.34,0.0
20231112:0030,0.0,0.0,0.0,0.0,18.22,0.14,0.0
20231112:0130,0.0,0.0,0.0,0.0,18.07,0.28,0.0
20231112:0230,0.0,0.0,0.0,0.0,17.71,0.28,0.0
20231112:0330,0.0,0.0,0.0,0.0,17.5,0.41,0.0
20231112:0430,0.0,0.0,0.0,0.0,17.13,0.41,0.0
20231112:0530,0.0,0.0,0.0,0.0,17.07,0.48,0.0
20231112:0630,0.0,0.0,0.0,0.0,17.08,0.28,0.0
20231112:0730,0.0,0.0,0.0,0.0,17.12,0.69,0.0
20231112:0830,0.0,0.0,0.0,0.0,17.06,0.69,0.0
20231112:0930,0.0,0.0,0.0,0.0,17.07,0.62,0.0
20231112:1030,0.0,0.0,0.0,-6.37,17.15,0.62,0.0
20231112:1130,0.0,15.73,0.38,7.79,17.0,0.69,0.0
20231112:1230,9.38,89.07,2.09,21.75,17.08,0.55,0.0
20231112:1330,20.4,186.41,4.44,35.28,18.52,0.62,0.0
20231112:1430,116.52,308.25,8.44,47.98,19.85,0.55,0.0
20231112:1530,166.72,387.95,11.31,58.76,21.55,0.28,0.0
20231112:1630,195.3,405.07,12.48,65.01,22.67,0.55,0.0
20231112:1730,108.95,390.71,10.67,63.31,23.15,0.76,0.0
20231112:1830,68.42,340.89,8.73,54.81,22.66,0.69,0.0
20231112:1930,108.89,281.99,7.6,43.06,22.05,0.62,0.0
20231112:2030,202.04,205.89,6.18,29.95,21.95,0.62,0.0
20231112:2130,80.08,78.72,2.1,16.21,21.47,0.48,0.0
20231112:2230,0.0,6.92,0.17,2.16,19.87,0.28,0.0
20231112:2330,0.0,0.0,0.0,0.0,19.27,0.21,0.0
20231113:0030,0.0,0.0,0.0,0.0,19.05,0.34,0.0
20231113:0130,0.0,0.0,0.0,0.0,18.93,0.28,0.0
20231113:0230,0.0,0.0,0.0,0.0,18.87,0.28,0.0
20231113:0330,0.0,0.0,0.0,0.0,18.63,0.28,0.0
20231113:0430,0.0,0.0,0.0,0.0,18.25,0.48,0.0
20231113:0530,0.0,0.0,0.0,0.0,17.9,0.48,0.0
20231113:0630,0.0,0.0,0.0,0.0,17.74,0.28,0.0
20231113:0730,0.0,0.0,0.0,0.0,17.62,0.55,0.0
20231113:0830,0.0,0.0,0.0,0.0,17.6,0.48,0.0
20231113:0930,0.0,0.0,0.0,0.0,17.42,0.41,0.0
20231113:1030,0.0,0.0,0.0,-6.44,17.3,0.21,0.0
20231113:1130,0.0,31.24,0.76,7.71,17.14,0.21,0.0
20231113:1230,400.06,137.76,5.51,21.64,17.49,0.48,0.0
20231113:1330,655.11,166.91,10.67,35.14,19.73,0.28,0.0
20231113:1430,640.06,212.15,13.48,47.8,21.86,0.14,0.0
20231113:1530,731.84,153.54,15.71,58.53,23.0,0.34,0.0
20231113:1630,763.75,184.36,18.02,64.74,23.99,0.69,0.0
20231113:1730,506.8,246.74,14.34,63.08,24.88,0.9,0.0
20231113:1830,182.38,260.76,8.61,54.65,24.2,0.83,0.0
20231113:1930,106.73,176.38,5.31,42.96,21.78,0.76,0.0
20231113:2030,86.85,151.89,4.16,29.9,21.06,0.69,0.0
20231113:2130,24.37,73.14,1.76,16.19,20.67,0.9,0.0
20231113:2230,0.0,6.46,0.16,2.16,19.99,0.76,0.0
20231113:2330,0.0,0.0,0.0,0.0,19.23,0.69,0.0
20231114:0030,0.0,0.0,0.0,0.0,18.82,0.48,0.0
20231114:0130,0.0,0.0,0.0,0.0,18.79,0.14,0.0
20231114:0230,0.0,0.0,0.0,0.0,18.56,0.48,0.0
20231114:0330,0.0,0.0,0.0,0.0,18.4,0.28,0.0
20231114:0430,0.0,0.0,0.0,0.0,18.19,0.34,0.0
20231114:0530,0.0,0.0,0.0,0.0,17.83,0.41,0.0
20231114:0630,0.0,0.0,0.0,0.0,17.58,0.48,0.0
20231114:0730,0.0,0.0,0.0,0.0,17.73,0.34,0.0
20231114:0830,0.0,0.0,0.0,0.0,17.27,0.28,0.0
20231114:0930,0.0,0.0,0.0,0.0,16.99,0.14,0.0
20231114:1030,0.0,0.0,0.0,-6.5,16.88,0.41,0.0
20231114:1130,0.0,28.81,0.7,7.62,16.9,0.48,0.0
20231114:1230,174.83,145.23,4.17,21.53,17.43,0.83,0.0
20231114:1330,466.27,218.7,9.44,35.0,18.47,0.76,0.0
20231114:1430,563.57,177.95,11.77,47.62,21.14,0.69,0.0
20231114:1530,822.57,146.81,17.09,58.3,22.89,0.48,0.0
20231114:1630,654.36,157.71,15.44,64.47,24.18,0.14,0.0
20231114:1730,731.17,180.76,17.0,62.86,24.9,0.34,0.0
20231114:1830,266.64,277.45,10.19,54.5,25.03,0.76,0.0
20231114:1930,7.6,178.07,4.16,42.87,21.64,0.76,0.0
20231114:2030,2.41,104.56,2.41,29.85,21.01,0.69,0.0
20231114:2130,15.87,58.75,1.41,16.17,20.87,0.34,0.0
20231114:2230,0.0,7.59,0.19,2.17,20.55,0.41,0.0
20231114:2330,0.0,0.0,0.0,0.0,19.6,0.48,0.0
20231115:0030,0.0,0.0,0.0,0.0,19.39,0.28,0.0
20231115:0130,0.0,0.0,0.0,0.0,18.73,0.28,0.0
20231115:0230,0.0,0.0,0.0,0.0,18.66,0.14,0.0
20231115:0330,0.0,0.0,0.0,0.0,18.34,0.14,0.0
20231115:0430,0.0,0.0,0.0,0.0,18.04,0.21,0.0
20231115:0530,0.0,0.0,0.0,0.0,17.77,0.21,0.0
20231115:0630,0.0,0.0,0.0,0.0,17.98,0.14,0.0
20231115:0730,0.0,0.0,0.0,0.0,17.65,0.34,0.0
20231115:0830,0.0,0.0,0.0,0.0,17.38,0.62,0.0
20231115:0930,0.0,0.0,0.0,0.0,17.54,0.28,0.0
20231115:1030,0.0,0.0,0.0,0.0,17.31,0.21,0.0
20231115:1130,0.0,6.16,0.15,7.53,17.38,0.28,0.0
20231115:1230,4.21,25.55,0.62,21.41,17.33,0.21,0.0
20231115:1330,0.0,42.43,0.97,34.86,17.38,0.62,0.0
20231115:1430,0.07,81.54,1.86,47.44,17.97,0.97,0.0
20231115:1530,22.29,186.42,4.61,58.07,18.36,0.97,0.0
20231115:1630,21.6,194.15,4.81,64.2,18.42,1.03,0.0
20231115:1730,15.69,171.2,4.18,62.63,17.85,0.9,0.0
20231115:1830,25.09,240.48,5.86,54.36,17.87,1.03,0.0
20231115:1930,27.99,227.62,5.51,42.79,19.85,0.69,0.0
20231115:2030,13.9,126.86,3.01,29.8,20.2,0.76,0.0
20231115:2130,4.62,52.45,1.22,16.16,19.78,0.69,0.0
20231115:2230,0.0,8.6,0.21,2.17,19.32,0.62,0.0
20231115:2330,0.0,0.0,0.0,0.0,18.52,0.55,0.0
20231116:0030,0.0,0.0,0.0,0.0,17.94,0.48,0.0
20231116:0130,0.0,0.0,0.0,0.0,18.13,0.48,0.0
20231116:0230,0.0,0.0,0.0,0.0,17.92,0.41,0.0
20231116:0330,0.0,0.0,0.0,0.0,17.74,0.28,0.0
20231116:0430,0.0,0.0,0.0,0.0,17.57,0.34,0.0
20231116:0530,0.0,0.0,0.0,0.0,17.33,0.34,0.0
20231116:0630,0.0,0.0,0.0,0.0,16.95,0.41,0.0
20231116:0730,0.0,0.0,0.0,0.0,17.04,0.41,0.0
20231116:0830,0.0,0.0,0.0,0.0,16.88,0.41,0.0
20231116:0930,0.0,0.0,0.0,0.0,16.75,0.41,0.0
20231116:1030,0.0,0.0,0.0,-6.64,16.52,0.41,0.0
20231116:1130,0.0,28.93,0.71,7.44,16.26,0.41,0.0
20231116:1230,418.41,118.47,5.31,21.3,17.08,0.21,0.0
20231116:1330,674.14,142.52,10.43,34.72,19.45,0.0,0.0
20231116:1430,763.2,150.89,14.08,47.26,21.29,0.41,0.0
20231116:1530,740.46,171.34,16.06,57.84,22.64,0.69,0.0
20231116:1630,770.63,152.41,17.38,63.95,23.46,0.97,0.0
20231116:1730,658.48,199.08,15.98,62.42,23.93,1.1,0.0
20231116:1830,615.35,180.78,13.59,54.22,23.94,1.38,0.0
20231116:1930,312.42,159.67,7.5,42.71,24.06,1.17,0.0
20231116:2030,209.4,157.11,5.29,29.76,21.81,0.83,0.0
20231116:2130,114.3,71.79,2.13,16.14,21.64,0.07,0.0
20231116:2230,0.0,11.11,0.27,2.19,21.38,0.21,0.0
20231116:2330,0.0,0.0,0.0,0.0,20.14,0.48,0.0
20231117:0030,0.0,0.0,0.0,0.0,19.58,0.07,0.0
20231117:0130,0.0,0.0,0.0,0.0,18.34,0.62,0.0
20231117:0230,0.0,0.0,0.0,0.0,17.99,0.48,0.0
20231117:0330,0.0,0.0,0.0,0.0,18.03,0.21,0.0
20231117:0430,0.0,0.0,0.0,0.0,17.91,0.07,0.0
20231117:0530,0.0,0.0,0.0,0.0,17.61,0.34,0.0
20231117:0630,0.0,0.0,0.0,0.0,17.24,0.41,0.0
20231117:0730,0.0,0.0,0.0,0.0,17.57,0.14,0.0
20231117:0830,0.0,0.0,0.0,0.0,17.37,0.14,0.0
20231117:0930,0.0,0.0,0.0,0.0,16.97,0.34,0.0
20231117:1030,0.0,0.0,0.0,-6.71,16.78,0.41,0.0
20231117:1130,0.0,23.11,0.56,7.35,16.72,0.34,0.0
20231117:1230,256.41,80.51,3.55,21.18,17.58,0.34,0.0
20231117:1330,500.0,152.93,8.63,34.57,18.76,0.0,0.0
20231117:1430,393.54,133.93,8.49,47.08,20.54,0.41,0.0
20231117:1530,553.2,203.76,13.53,57.61,21.02,0.76,0.0
20231117:1630,616.4,222.76,15.9,63.69,21.89,0.9,0.0
20231117:1730,676.44,177.17,15.84,62.21,22.3,0.97,0.0
20231117:1830,433.07,227.92,11.64,54.09,23.43,0.9,0.0
20231117:1930,305.17,259.26,9.33,42.63,22.62,0.83,0.0
20231117:2030,99.73,167.3,4.58,29.73,22.48,0.9,0.0
20231117:2130,2.17,75.02,1.72,16.14,20.83,0.9,0.0
20231117:2230,0.0,10.15,0.25,2.2,19.1,0.76,0.0
20231117:2330,0.0,0.0,0.0,0.0,18.7,0.55,0.0
20231118:0030,0.0,0.0,0.0,0.0,17.94,0.48,0.0
20231118:0130,0.0,0.0,0.0,0.0,17.71,0.55,0.0
20231118:0230,0.0,0.0,0.0,0.0,17.68,0.41,0.0
20231118:0330,0.0,0.0,0.0,0.0,17.93,0.28,0.0
20231118:0430,0.0,0.0,0.0,0.0,17.64,0.41,0.0
20231118:0530,0.0,0.0,0.0,0.0,17.41,0.62,0.0
20231118:0630,0.0,0.0,0.0,0.0,16.92,0.48,0.0
20231118:0730,0.0,0.0,0.0,0.0,17.11,0.55,0.0
20231118:0830,0.0,0.0,0.0,0.0,17.21,0.69,0.0
20231118:0930,0.0,0.0,0.0,0.0,17.21,0.62,0.0
20231118:1030,0.0,0.0,0.0,0.0,17.29,0.34,0.0
20231118:1130,0.0,10.69,0.26,7.25,17.2,0.55,0.0
20231118:1230,75.35,46.97,1.61,21.07,17.67,0.48,0.0
20231118:1330,65.26,114.07,3.27,34.43,18.63,0.48,0.0
